ROI_ID 1
ROI_TYPE MeanRectRoi(vertex1=(277, 56), vertex2=(367, 271), delta_ig=0)
ROI_DESCRIPTION N/A
DATE 2019-11-10
TIME 19:35:41
CAP_FILE testfiles/traffic_light_small.avi
CAP_TITLE testfiles/traffic_light_small.avi
CAP_FPS 25.0

pos_frames,pos_msec,blue_avg,green_avg,red_avg
HEADER_END
1.0,40.0,49.377187627187624,49.25193325193325,35.91676841676842
2.0,80.0,49.56578144078144,49.142958892958895,35.93340455840456
3.0,120.0,49.70522995522995,49.15181115181115,36.01800976800977
4.0,160.0,49.691951566951566,49.14570614570614,36.0222323972324
5.0,200.0,49.77197802197802,49.154151404151406,36.06369556369556
6.0,240.0,49.73616198616199,49.15410052910053,36.00707163207163
7.0,280.0,49.771621896621895,49.17867317867318,35.98743386243386
8.0,320.0,49.75630850630851,49.210215710215714,36.00188237688238
9.0,360.0,49.72217134717135,49.1931216931217,36.019485144485145
10.0,400.0,49.76048026048026,49.18538868538869,36.03678266178266
11.0,440.0,49.77116402116402,49.199430199430196,36.05387667887668
12.0,480.0,49.75498575498575,49.15669515669516,36.081552706552706
13.0,520.0,49.844627594627596,49.15674603174603,36.10668498168498
14.0,560.0,49.836741961741964,49.163258038258036,36.071377696377695
15.0,600.0,49.83770858770859,49.199430199430196,36.11289173789174
16.0,640.0,49.78627391127391,49.20380545380545,36.07142857142857
17.0,680.0,49.78937728937729,49.18538868538869,36.09696784696785
18.0,720.0,49.790293040293044,49.21194546194546,36.05046805046805
19.0,760.0,49.74643874643875,49.24542124542125,36.00396825396825
20.0,800.0,49.733567358567356,49.25015262515262,36.004120879120876
21.0,840.0,49.7269536019536,49.213522588522586,35.995879120879124
22.0,880.0,49.76348188848189,49.18213268213268,35.995624745624745
23.0,920.0,49.74526862026862,49.20965608465608,35.95522995522995
24.0,960.0,49.792073667073666,49.22781847781848,35.92933455433455
25.0,1000.0,49.844474969474966,49.2265466015466,35.976597476597476
26.0,1040.0,49.81166056166056,49.23728123728124,35.95212657712658
27.0,1080.0,49.816697191697195,49.24109686609687,35.95940170940171
28.0,1120.0,49.81471306471307,49.241961741961745,35.95721408221408
29.0,1160.0,49.81776556776557,49.24425111925112,35.963522588522586
30.0,1200.0,49.81623931623932,49.22970085470085,35.975172975172974
31.0,1240.0,49.81486568986569,49.22761497761498,35.9532967032967
32.0,1280.0,49.82295482295482,49.23570411070411,35.96138583638584
33.0,1320.0,49.81003256003256,49.2465404965405,35.965303215303216
34.0,1360.0,49.80438542938543,49.23946886446886,35.95528083028083
35.0,1400.0,49.80993080993081,49.24501424501425,35.96082621082621
36.0,1440.0,49.810693935693934,49.24577737077737,35.961589336589334
37.0,1480.0,49.75671550671551,49.21133496133496,35.949684574684575
38.0,1520.0,49.73550061050061,49.20436507936508,35.92623117623118
39.0,1560.0,49.75778388278388,49.213013838013836,35.94505494505494
40.0,1600.0,49.75371387871388,49.208943833943835,35.94098494098494
41.0,1640.0,49.75554538054538,49.20426332926333,35.93752543752544
42.0,1680.0,49.743844118844116,49.202737077737076,35.931929181929185
43.0,1720.0,49.75086487586488,49.20975783475784,35.93894993894994
44.0,1760.0,49.74964387464387,49.21255596255596,35.937728937728934
45.0,1800.0,49.78464590964591,49.22537647537648,35.96764346764347
46.0,1840.0,49.77879527879528,49.22095034595035,35.96342083842084
47.0,1880.0,49.79187016687017,49.23199023199023,35.97547822547823
48.0,1920.0,49.78490028490028,49.22603785103785,35.99292836792837
49.0,1960.0,49.79044566544567,49.247812372812376,35.94235856735857
50.0,2000.0,49.767348392348396,49.24058811558812,35.9284188034188
51.0,2040.0,49.80046805046805,49.25946275946276,35.946886446886445
52.0,2080.0,49.79939967439967,49.26266788766789,35.949074074074076
53.0,2120.0,49.80102767602768,49.26429588929589,35.950702075702075
54.0,2160.0,49.804639804639805,49.26790801790802,35.9543142043142
55.0,2200.0,49.811864061864064,49.27513227513227,35.96153846153846
56.0,2240.0,49.81578144078144,49.27904965404965,35.96545584045584
57.0,2280.0,49.83028083028083,49.28235653235653,35.97792022792023
58.0,2320.0,49.8221916971917,49.2742673992674,35.96983109483109
59.0,2360.0,49.8221916971917,49.2742673992674,35.96983109483109
60.0,2400.0,49.833180708180706,49.27981277981278,35.987993487993485
61.0,2440.0,49.8211741961742,49.28973341473341,36.01826414326414
62.0,2480.0,49.8058608058608,49.28378103378103,35.99908424908425
63.0,2520.0,49.809320309320306,49.287240537240535,36.00269637769638
64.0,2560.0,49.80799755799756,49.28632478632478,36.00127187627188
65.0,2600.0,49.800824175824175,49.2793549043549,35.99404761904762
66.0,2640.0,49.82560032560033,49.26973951973952,35.99277574277574
67.0,2680.0,49.8262617012617,49.2704008954009,35.99343711843712
68.0,2720.0,49.8262617012617,49.2704008954009,35.99343711843712
69.0,2760.0,49.8272792022792,49.25798738298738,36.016432641432644
70.0,2800.0,49.825447700447704,49.256155881155884,36.01460113960114
71.0,2840.0,49.82916157916158,49.25986975986976,36.01831501831502
72.0,2880.0,49.83262108262108,49.2485754985755,36.005901505901505
73.0,2920.0,49.900946275946275,49.229395604395606,36.04421041921042
74.0,2960.0,49.88492063492063,49.22028897028897,36.023911273911274
75.0,3000.0,49.88792226292226,49.21891534391534,36.0254884004884
76.0,3040.0,49.89122914122914,49.22222222222222,36.02879527879528
77.0,3080.0,49.89122914122914,49.22222222222222,36.02879527879528
78.0,3120.0,49.903235653235654,49.232804232804234,36.03764753764754
79.0,3160.0,49.8996743996744,49.22741147741148,36.03444240944241
80.0,3200.0,49.9004884004884,49.228225478225475,36.03525641025641
81.0,3240.0,49.90237077737078,49.24598087098087,36.0521978021978
82.0,3280.0,49.90018315018315,49.24643874643875,36.048178673178676
83.0,3320.0,49.90633903133903,49.249542124542124,36.052503052503056
84.0,3360.0,49.904863654863654,49.25676638176638,36.042073667073666
85.0,3400.0,49.83613146113146,49.292836792836795,36.03474765974766
86.0,3440.0,49.82880545380545,49.2962962962963,36.03250915750916
87.0,3480.0,49.85485347985348,49.290801790801794,36.0772792022792
88.0,3520.0,49.8511396011396,49.28505291005291,36.10124135124135
89.0,3560.0,49.85683760683761,49.28383190883191,36.100834350834354
90.0,3600.0,49.85444647944648,49.28032153032153,36.098290598290596
91.0,3640.0,49.85968660968661,49.29359991859992,36.08262108262108
92.0,3680.0,49.85963573463574,49.2942612942613,36.082163207163205
93.0,3720.0,49.835978835978835,49.30499592999593,36.08455433455433
94.0,3760.0,49.835215710215714,49.30428367928368,36.08374033374034
95.0,3800.0,49.828856328856325,49.3007733007733,36.080636955636955
96.0,3840.0,49.88659951159951,49.29909442409443,36.085063085063084
97.0,3880.0,49.91890516890517,49.30769230769231,36.03693528693529
98.0,3920.0,49.91000203500204,49.311202686202684,36.03332315832316
99.0,3960.0,49.919871794871796,49.317205942205945,36.051332926332925
100.0,4000.0,49.91982091982092,49.31715506715507,36.05128205128205
101.0,4040.0,49.9212962962963,49.31303418803419,36.048280423280424
102.0,4080.0,49.91463166463166,49.302096052096054,36.037749287749286
103.0,4120.0,49.90186202686203,49.289275539275536,36.0250814000814
104.0,4160.0,49.89738502238502,49.28805453805454,36.02090964590965
105.0,4200.0,49.911223036223035,49.29405779405779,36.03276353276353
106.0,4240.0,49.90878103378103,49.29293854293854,36.03062678062678
107.0,4280.0,49.90878103378103,49.29242979242979,36.051078551078554
108.0,4320.0,49.88415750915751,49.293854293854295,36.052503052503056
109.0,4360.0,49.883699633699635,49.31054131054131,36.01994301994302
110.0,4400.0,49.875559625559625,49.30911680911681,36.015567765567766
111.0,4440.0,49.89072039072039,49.3068783068783,36.03434065934066
112.0,4480.0,49.89036426536426,49.30774318274318,36.03413715913716
